band_index,wavelength_nm
0,949.764038
1,951.596558
2,953.428711
3,955.26062
4,957.092163
5,958.923462
6,960.754395
7,962.585083
8,964.415466
9,966.245544
10,968.075317
11,969.675659
12,971.554626
13,973.420776
14,975.292236
15,977.193909
16,979.052612
17,980.938477
18,982.796387
19,984.67395
20,986.546509
21,988.400024
22,990.240356
23,992.064819
24,993.86676
25,995.694641
26,997.49115
27,999.30835
28,1001.08728
29,1002.893921
30,1004.705139
31,1006.51825
32,1008.349854
33,1010.150879
34,1011.961304
35,1013.775269
36,1015.587219
37,1017.401489
38,1019.208252
39,1021.023376
40,1022.82489
41,1024.634644
42,1026.435913
43,1028.245605
44,1030.0177
45,1031.811646
46,1033.613037
47,1035.400024
48,1037.211914
49,1039.030396
50,1040.828247
51,1042.632568
52,1044.409302
53,1046.218384
54,1048.029297
55,1049.839478
56,1051.673096
57,1053.481567
58,1055.308838
59,1057.137817
60,1058.978027
61,1060.83313
62,1062.68103
63,1064.531494
64,1066.44397
65,1068.32019
66,1070.209351
67,1072.111816
68,1074.032593
69,1075.905396
70,1077.791626
71,1079.687012
72,1081.56543
73,1083.434448
74,1085.326172
75,1087.184692
76,1089.032227
77,1090.912476
78,1092.755249
79,1094.575195
80,1096.404419
81,1098.232544
82,1100.017944
83,1101.820801
84,1103.651733
85,1105.433105
86,1107.214478
87,1109.036499
88,1110.825684
89,1112.594604
90,1114.398926
91,1116.196777
92,1117.999878
93,1119.824341
94,1121.613525
95,1123.407227
96,1125.230713
97,1127.011597
98,1128.833496
99,1130.660278
100,1132.459106
101,1134.229492
102,1136.033325
103,1137.817139
104,1139.624146
105,1141.407227
106,1143.221924
107,1145.026123
108,1146.813354
109,1148.61084
110,1150.400024
111,1152.194092
112,1154.005981
113,1155.787109
114,1157.591431
115,1159.449219
116,1161.214722
117,1163.030518
118,1164.840332
119,1166.676514
120,1168.519043
121,1170.356567
122,1172.250977
123,1174.115479
124,1175.975586
125,1177.868774
126,1179.716431
127,1181.60083
128,1183.462646
129,1185.32312
130,1187.19165
131,1189.052124
132,1190.919312
133,1192.758545
134,1194.622681
135,1196.44104
136,1198.269897
137,1200.117798
138,1201.903687
139,1203.740723
140,1205.508057
141,1207.323242
142,1209.112793
143,1210.908081
144,1212.700806
145,1214.489746
146,1216.291748
147,1218.040771
148,1219.849854
149,1221.596069
150,1223.394165
151,1225.165039
152,1226.966309
153,1228.754883
154,1230.556152
155,1232.352661
156,1234.119507
157,1235.917603
158,1237.695801
159,1239.491211
160,1241.278931
161,1243.075073
162,1244.828369
163,1246.628784
164,1248.405762
165,1250.206787
166,1251.980103
167,1253.772461
168,1255.547363
169,1257.32959
170,1259.086548
171,1260.853027
172,1262.645508
173,1264.447266
174,1266.231201
175,1268.040283
176,1269.857544
177,1271.687866
178,1273.520264
179,1275.34729
180,1277.19043
181,1279.057617
182,1280.916992
183,1282.787354
184,1284.636719
185,1286.484009
186,1288.332642
187,1290.184204
188,1292.023682
189,1293.888672
190,1295.743408
191,1297.571167
192,1299.379517
193,1301.16687
194,1302.947998
195,1304.761475
196,1306.535156
197,1308.32019
198,1310.106812
199,1311.901611
200,1313.648193
201,1315.447021
202,1317.196289
203,1318.977783
204,1320.726685
205,1322.499146
206,1324.264648
207,1326.035156
208,1327.798096
209,1329.55835
210,1331.333374
211,1333.096069
212,1334.875732
213,1336.638916
214,1338.42688
215,1340.193359
216,1341.961548
217,1343.709351
218,1345.468262
219,1347.239136
220,1349.017212
221,1350.809937
222,1352.598145
223,1354.36792
224,1356.125366
225,1357.893188
226,1359.642578
227,1361.418579
228,1363.17334
229,1364.936523
230,1366.7052
231,1368.478394
232,1370.268555
233,1372.090088
234,1373.884155
235,1375.722778
236,1377.489624
237,1379.400024
238,1381.00647
239,1382.708618
240,1384.310181
241,1386.167969
242,1387.769165
243,1389.400024
244,1391.436523
245,1393.307861
246,1395.366333
247,1397.185059
248,1399.127563
249,1401.020874
250,1402.925171
251,1404.81897
252,1406.775269
253,1408.709961
254,1410.58374
255,1412.459961
256,1414.347168
257,1416.13562
258,1418.142578
259,1419.775024
260,1421.72644
261,1423.318726
262,1425.156128
263,1426.950439
264,1428.549805
265,1430.454102
266,1432.154907
267,1433.920654
268,1435.6875
269,1437.366943
270,1439.208008
271,1440.874512
272,1442.633423
273,1444.396729
274,1446.099365
275,1447.886719
276,1449.616455
277,1451.397217
278,1453.140503
279,1454.88562
280,1456.667358
281,1458.353149
282,1460.104614
283,1461.825562
284,1463.561279
285,1465.315796
286,1467.035278
287,1468.818237
288,1470.601074
289,1472.351318
290,1474.129028
291,1475.928101
292,1477.70813
293,1479.519287
294,1481.308472
295,1483.169556
296,1485.001709
297,1486.806274
298,1488.675049
299,1490.421997
300,1492.253296
301,1494.019043
302,1495.787231
303,1497.642944
304,1499.385986
305,1501.188721
306,1502.991211
307,1504.709839
308,1506.55127
309,1508.259521
310,1509.993286
311,1511.779541
312,1513.455444
313,1515.240967
314,1516.971191
315,1518.630615
316,1520.433594
317,1522.1073
318,1523.85022
319,1525.63562
320,1527.270508
321,1529.00061
322,1530.736816
323,1532.406616
324,1534.211914
325,1535.891846
326,1537.623901
327,1539.369629
328,1541.058105
329,1542.824707
330,1544.530762
331,1546.208618
332,1547.978516
333,1549.690063
334,1551.400024
335,1553.162354
336,1554.871948
337,1556.595703
338,1558.312012
339,1560.043091
340,1561.747314
341,1563.504761
342,1565.213989
343,1566.933838
344,1568.703003
345,1570.387085
346,1572.192383
347,1574.001709
348,1575.6698
349,1577.554443
350,1579.328247
351,1581.071899
352,1582.995483
353,1584.710938
354,1586.496338
355,1588.384033
356,1590.017944
357,1591.857422
358,1593.689209
359,1595.328979
360,1597.184082
361,1598.958984
362,1600.627075
363,1602.483643
364,1604.13269
365,1605.86853
366,1607.698608
367,1609.331909
368,1611.133179
369,1612.920044
370,1614.523682
371,1616.297119
372,1618.00769
373,1619.651245
374,1621.466064
375,1623.213135
376,1624.885864
377,1626.661133
378,1628.357666
379,1630.063354
380,1631.786499
381,1633.521484
382,1635.256226
383,1636.990601
384,1638.724731
385,1640.458496
386,1642.192017
387,1643.925171
388,1645.658081
389,1647.390747
390,1649.123047
391,1650.85498
