run_id,direction,model,seed,selection_type,candidate_C,selected_epoch,validation_accuracy,validation_macro_f1,validation_nll,selected
suffix_1_to_2__snv_lr__seed_42,suffix_1_to_2,snv_lr,42,C,0.01,,0.8,0.7956899761317865,0.7969216780658211,0
suffix_1_to_2__snv_lr__seed_42,suffix_1_to_2,snv_lr,42,C,0.1,,0.8769230769230769,0.8755632303426422,0.610299095256023,0
suffix_1_to_2__snv_lr__seed_42,suffix_1_to_2,snv_lr,42,C,1.0,,0.9076923076923077,0.9067724196756455,0.5522724662355575,0
suffix_1_to_2__snv_lr__seed_42,suffix_1_to_2,snv_lr,42,C,10.0,,0.9307692307692308,0.9306134840617599,0.5870868081930558,1
suffix_1_to_2__snv_lr__seed_42,suffix_1_to_2,snv_lr,42,C,100.0,,0.9307692307692308,0.9304340837547669,0.872489523427682,0
suffix_1_to_2__spectral_only__seed_42,suffix_1_to_2,spectral_only,42,epoch,,5,0.13846153846153847,0.030405405405405407,2.078919186348132,1
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,fusion_net,42,epoch,,20,0.2923076923076923,0.24759972170686456,1.9337863855898865,1
suffix_1_to_2__snv_lr__seed_2024,suffix_1_to_2,snv_lr,2024,C,0.01,,0.8,0.7992116686969628,0.6547355026286987,0
suffix_1_to_2__snv_lr__seed_2024,suffix_1_to_2,snv_lr,2024,C,0.1,,0.9,0.8997963506028022,0.3746229505666056,0
suffix_1_to_2__snv_lr__seed_2024,suffix_1_to_2,snv_lr,2024,C,1.0,,0.9230769230769231,0.9226040895870118,0.22746235846747834,0
suffix_1_to_2__snv_lr__seed_2024,suffix_1_to_2,snv_lr,2024,C,10.0,,0.9538461538461539,0.9534109477124183,0.19355897182148896,0
suffix_1_to_2__snv_lr__seed_2024,suffix_1_to_2,snv_lr,2024,C,100.0,,0.9538461538461539,0.9542033620633004,0.22241555935178753,1
suffix_1_to_2__spectral_only__seed_2024,suffix_1_to_2,spectral_only,2024,epoch,,12,0.17692307692307693,0.10190217391304349,2.079191169324662,1
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,fusion_net,2024,epoch,,10,0.2692307692307692,0.21240595271925194,1.8520666697082855,1
suffix_1_to_2__snv_lr__seed_2025,suffix_1_to_2,snv_lr,2025,C,0.01,,0.8461538461538461,0.8432931768116287,0.5689480427083682,0
suffix_1_to_2__snv_lr__seed_2025,suffix_1_to_2,snv_lr,2025,C,0.1,,0.9153846153846154,0.9145914793092212,0.34447814450482817,0
suffix_1_to_2__snv_lr__seed_2025,suffix_1_to_2,snv_lr,2025,C,1.0,,0.9307692307692308,0.9300383588186008,0.2551607995686561,1
suffix_1_to_2__snv_lr__seed_2025,suffix_1_to_2,snv_lr,2025,C,10.0,,0.9307692307692308,0.929842855397291,0.26282851311341393,0
suffix_1_to_2__snv_lr__seed_2025,suffix_1_to_2,snv_lr,2025,C,100.0,,0.9307692307692308,0.9299873737373737,0.35186592108945025,0
suffix_1_to_2__spectral_only__seed_2025,suffix_1_to_2,spectral_only,2025,epoch,,56,0.5769230769230769,0.5380551901795018,1.315926663740046,1
suffix_1_to_2__fusion_net__seed_2025,suffix_1_to_2,fusion_net,2025,epoch,,21,0.4846153846153846,0.48650313620071683,1.359535130866166,1
suffix_2_to_1__snv_lr__seed_42,suffix_2_to_1,snv_lr,42,C,0.01,,0.7967479674796748,0.7978140171640196,0.7315512185858678,0
suffix_2_to_1__snv_lr__seed_42,suffix_2_to_1,snv_lr,42,C,0.1,,0.9105691056910569,0.9140014051808407,0.39617317208894737,0
suffix_2_to_1__snv_lr__seed_42,suffix_2_to_1,snv_lr,42,C,1.0,,0.9105691056910569,0.9147192693059629,0.22131007078929563,0
suffix_2_to_1__snv_lr__seed_42,suffix_2_to_1,snv_lr,42,C,10.0,,0.9512195121951219,0.95307288971307,0.15771020849257056,1
suffix_2_to_1__snv_lr__seed_42,suffix_2_to_1,snv_lr,42,C,100.0,,0.943089430894309,0.94526038971307,0.1872796236430806,0
suffix_2_to_1__spectral_only__seed_42,suffix_2_to_1,spectral_only,42,epoch,,13,0.13008130081300814,0.03125,2.079526319153415,1
suffix_2_to_1__fusion_net__seed_42,suffix_2_to_1,fusion_net,42,epoch,,47,0.4634146341463415,0.44758882959313995,1.5189947265245585,1
suffix_2_to_1__snv_lr__seed_2024,suffix_2_to_1,snv_lr,2024,C,0.01,,0.8211382113821138,0.8165552369596487,0.6378838586624687,0
suffix_2_to_1__snv_lr__seed_2024,suffix_2_to_1,snv_lr,2024,C,0.1,,0.9349593495934959,0.9357349795288085,0.37781602873934456,0
suffix_2_to_1__snv_lr__seed_2024,suffix_2_to_1,snv_lr,2024,C,1.0,,0.9349593495934959,0.9336881748519679,0.2553198569497287,0
suffix_2_to_1__snv_lr__seed_2024,suffix_2_to_1,snv_lr,2024,C,10.0,,0.943089430894309,0.9417478354978355,0.2545211511248071,0
suffix_2_to_1__snv_lr__seed_2024,suffix_2_to_1,snv_lr,2024,C,100.0,,0.959349593495935,0.9578140273704789,0.2621074508890564,1
suffix_2_to_1__spectral_only__seed_2024,suffix_2_to_1,spectral_only,2024,epoch,,7,0.13008130081300814,0.02877697841726619,2.078297136611539,1
suffix_2_to_1__fusion_net__seed_2024,suffix_2_to_1,fusion_net,2024,epoch,,43,0.5365853658536586,0.5250495589650002,1.3649534160159136,1
suffix_2_to_1__snv_lr__seed_2025,suffix_2_to_1,snv_lr,2025,C,0.01,,0.8048780487804879,0.8021254827688651,0.8036786159354071,0
suffix_2_to_1__snv_lr__seed_2025,suffix_2_to_1,snv_lr,2025,C,0.1,,0.9186991869918699,0.9167651114698079,0.5592739536102026,0
suffix_2_to_1__snv_lr__seed_2025,suffix_2_to_1,snv_lr,2025,C,1.0,,0.9349593495934959,0.9331363025415444,0.46222582240956694,0
suffix_2_to_1__snv_lr__seed_2025,suffix_2_to_1,snv_lr,2025,C,10.0,,0.959349593495935,0.9589868297025556,0.46679575961830905,1
suffix_2_to_1__snv_lr__seed_2025,suffix_2_to_1,snv_lr,2025,C,100.0,,0.9512195121951219,0.9493142106549365,0.5247669027853356,0
suffix_2_to_1__spectral_only__seed_2025,suffix_2_to_1,spectral_only,2025,epoch,,36,0.3983739837398374,0.33983730408149015,1.5672838787992915,1
suffix_2_to_1__fusion_net__seed_2025,suffix_2_to_1,fusion_net,2025,epoch,,35,0.4878048780487805,0.49196633179765986,1.4109337415353105,1
