estimand,model,condition,calibration,observed_theta,bootstrap_mean,bootstrap_median,conditional_ci_low,conditional_ci_high,confidence_level,interval_method,bootstrap_repetitions,bootstrap_seed,resampling_unit,scope
theta_two_direction_cube_equal_balanced_accuracy,snv_lr,full,raw,0.8687210648148149,0.8688112586805555,0.8718605324074074,0.7534714988425926,0.9605613425925925,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 commercial-label pairs; both source-cube directions retained,conditional_on_the_16_archived_source_cubes
theta_two_direction_cube_equal_balanced_accuracy,snv_lr,spatial_shuffle,raw,0.8687210648148149,0.8688112586805555,0.8718605324074074,0.7534714988425926,0.9605613425925925,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 commercial-label pairs; both source-cube directions retained,conditional_on_the_16_archived_source_cubes
theta_two_direction_cube_equal_balanced_accuracy,snv_lr,mean_broadcast,raw,0.8687210648148149,0.8688112586805555,0.8718605324074074,0.7534714988425926,0.9605613425925925,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 commercial-label pairs; both source-cube directions retained,conditional_on_the_16_archived_source_cubes
theta_two_direction_cube_equal_balanced_accuracy,snv_lr,mask_only,raw,0.125,0.1257125,0.125,0.0,0.375,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 commercial-label pairs; both source-cube directions retained,conditional_on_the_16_archived_source_cubes
theta_two_direction_cube_equal_balanced_accuracy,spectral_only,full,raw,0.44458912037037035,0.44495798611111115,0.4466435185185185,0.25285590277777786,0.6303913483796294,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 commercial-label pairs; both source-cube directions retained,conditional_on_the_16_archived_source_cubes
theta_two_direction_cube_equal_balanced_accuracy,spectral_only,spatial_shuffle,raw,0.44458912037037035,0.44495798611111115,0.4466435185185185,0.25285590277777786,0.6303913483796294,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 commercial-label pairs; both source-cube directions retained,conditional_on_the_16_archived_source_cubes
theta_two_direction_cube_equal_balanced_accuracy,spectral_only,mean_broadcast,raw,0.44458912037037035,0.44495798611111115,0.4466435185185185,0.25285590277777786,0.6303913483796294,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 commercial-label pairs; both source-cube directions retained,conditional_on_the_16_archived_source_cubes
theta_two_direction_cube_equal_balanced_accuracy,spectral_only,mask_only,raw,0.125,0.124425,0.125,0.0,0.375,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 commercial-label pairs; both source-cube directions retained,conditional_on_the_16_archived_source_cubes
theta_two_direction_cube_equal_balanced_accuracy,fusion_net,full,raw,0.4440972222222222,0.4438806336805555,0.44253472222222223,0.28793402777777777,0.6036480034722221,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 commercial-label pairs; both source-cube directions retained,conditional_on_the_16_archived_source_cubes
theta_two_direction_cube_equal_balanced_accuracy,fusion_net,spatial_shuffle,raw,0.31918402777777777,0.31889488715277775,0.3163194444444445,0.19452690972222228,0.45729600694444444,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 commercial-label pairs; both source-cube directions retained,conditional_on_the_16_archived_source_cubes
theta_two_direction_cube_equal_balanced_accuracy,fusion_net,mean_broadcast,raw,0.31805555555555554,0.3177715451388889,0.3150173611111111,0.19174479166666675,0.45807508680555553,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 commercial-label pairs; both source-cube directions retained,conditional_on_the_16_archived_source_cubes
theta_two_direction_cube_equal_balanced_accuracy,fusion_net,mask_only,raw,0.21767939814814813,0.21725369791666663,0.21270254629629629,0.075,0.37961299189814796,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 commercial-label pairs; both source-cube directions retained,conditional_on_the_16_archived_source_cubes
theta_two_direction_cube_equal_balanced_accuracy,snv_lr,full,temperature_scaled,0.8694155092592594,0.8695073177083333,0.872800925925926,0.7537905092592593,0.961980613425926,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 commercial-label pairs; both source-cube directions retained,conditional_on_the_16_archived_source_cubes
theta_two_direction_cube_equal_balanced_accuracy,snv_lr,spatial_shuffle,temperature_scaled,0.8694155092592594,0.8695073177083333,0.872800925925926,0.7537905092592593,0.961980613425926,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 commercial-label pairs; both source-cube directions retained,conditional_on_the_16_archived_source_cubes
theta_two_direction_cube_equal_balanced_accuracy,snv_lr,mean_broadcast,temperature_scaled,0.8694155092592594,0.8695073177083333,0.872800925925926,0.7537905092592593,0.961980613425926,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 commercial-label pairs; both source-cube directions retained,conditional_on_the_16_archived_source_cubes
theta_two_direction_cube_equal_balanced_accuracy,snv_lr,mask_only,temperature_scaled,0.125,0.1257125,0.125,0.0,0.375,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 commercial-label pairs; both source-cube directions retained,conditional_on_the_16_archived_source_cubes
theta_two_direction_cube_equal_balanced_accuracy,spectral_only,full,temperature_scaled,0.44751157407407405,0.44788700520833336,0.44971064814814815,0.2531054687500002,0.6357964409722221,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 commercial-label pairs; both source-cube directions retained,conditional_on_the_16_archived_source_cubes
theta_two_direction_cube_equal_balanced_accuracy,spectral_only,spatial_shuffle,temperature_scaled,0.44751157407407405,0.44788700520833336,0.44971064814814815,0.2531054687500002,0.6357964409722221,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 commercial-label pairs; both source-cube directions retained,conditional_on_the_16_archived_source_cubes
theta_two_direction_cube_equal_balanced_accuracy,spectral_only,mean_broadcast,temperature_scaled,0.44751157407407405,0.44788700520833336,0.44971064814814815,0.2531054687500002,0.6357964409722221,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 commercial-label pairs; both source-cube directions retained,conditional_on_the_16_archived_source_cubes
theta_two_direction_cube_equal_balanced_accuracy,spectral_only,mask_only,temperature_scaled,0.125,0.124425,0.125,0.0,0.375,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 commercial-label pairs; both source-cube directions retained,conditional_on_the_16_archived_source_cubes
theta_two_direction_cube_equal_balanced_accuracy,fusion_net,full,temperature_scaled,0.45937500000000003,0.45915291666666663,0.4575520833333333,0.3197916666666667,0.60703125,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 commercial-label pairs; both source-cube directions retained,conditional_on_the_16_archived_source_cubes
theta_two_direction_cube_equal_balanced_accuracy,fusion_net,spatial_shuffle,temperature_scaled,0.32786458333333335,0.32754609375,0.32578125,0.20937499999999998,0.46015625,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 commercial-label pairs; both source-cube directions retained,conditional_on_the_16_archived_source_cubes
theta_two_direction_cube_equal_balanced_accuracy,fusion_net,mean_broadcast,temperature_scaled,0.3250868055555556,0.3247570138888889,0.32235243055555557,0.20190104166666675,0.4628472222222222,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 commercial-label pairs; both source-cube directions retained,conditional_on_the_16_archived_source_cubes
theta_two_direction_cube_equal_balanced_accuracy,fusion_net,mask_only,temperature_scaled,0.20517939814814815,0.20477940104166667,0.20078125000000002,0.06796875,0.3603710937499998,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 commercial-label pairs; both source-cube directions retained,conditional_on_the_16_archived_source_cubes
