bin_confidence,bin_accuracy,series
0.5482607454323654,0.25,uncalibrated
0.6519373520942175,0.6666666666666666,uncalibrated
0.7603008779185756,0.6,uncalibrated
0.8590047757620723,0.8,uncalibrated
0.9960407938030255,0.9664864864864865,uncalibrated
0.4601677961837951,0.2,calibrated
0.5502547628470247,0.6,calibrated
0.6429409038171175,0.6363636363636364,calibrated
0.755468338664117,0.7619047619047619,calibrated
0.8533058868098805,0.8275862068965517,calibrated
0.9872892603379815,0.9833134684147795,calibrated
